taxid	protein	species	1	2	3	4	5	6	7	8																											
1797349	hypothetical protein A2X17_08560 [Bacteroidetes bacterium GWF2_41_61]	Bacteroidetes bacterium GWF2_41_61	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
1797349	hypothetical protein A2X17_08560 [Bacteroidetes bacterium GWF2_41_61]	Bacteroidetes bacterium GWF2_41_61	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
1160	tetratricopeptide repeat protein [Planktothrix agardhii]	Planktothrix agardhii	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix																										
1945581	tetratricopeptide repeat protein [Chryseobacterium mucoviscidosis]	Chryseobacterium mucoviscidosis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium																										
1945581	tetratricopeptide repeat protein [Chryseobacterium mucoviscidosis]	Chryseobacterium mucoviscidosis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium																										
1945581	tetratricopeptide repeat protein [Chryseobacterium mucoviscidosis]	Chryseobacterium mucoviscidosis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium																										
859	tetratricopeptide repeat protein [Fusobacterium necrophorum]	Fusobacterium necrophorum	cellular organisms	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium																												
33964	tetratricopeptide repeat protein [Leuconostoc citreum]	Leuconostoc citreum	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc																											
2026780	outer membrane protein assembly factor BamD [Planctomycetes bacterium]	Planctomycetes bacterium	cellular organisms	Bacteria	PVC group	Planctomycetes	unclassified Planctomycetes																														
2250710	hypothetical protein DRP44_03395 [candidate division TA06 bacterium]	candidate division TA06 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division TA06																														
2211445	tetratricopeptide repeat protein [Flavobacterium sp. IMCC34758]	Flavobacterium sp. IMCC34758	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
2211445	tetratricopeptide repeat protein [Flavobacterium sp. IMCC34758]	Flavobacterium sp. IMCC34758	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
2211445	tetratricopeptide repeat protein [Flavobacterium sp. IMCC34758]	Flavobacterium sp. IMCC34758	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
361581	tetratricopeptide repeat protein [Tenacibaculum discolor]	Tenacibaculum discolor	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum																										
361581	tetratricopeptide repeat protein [Tenacibaculum discolor]	Tenacibaculum discolor	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum																										
361581	tetratricopeptide repeat protein [Tenacibaculum discolor]	Tenacibaculum discolor	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum																										
2231115	hypothetical protein DSZ25_03735 [Thermovibrio sp.]	Thermovibrio sp.	cellular organisms	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio																												
1973977	hypothetical protein COW04_08475 [Deltaproteobacteria bacterium CG12_big_fil_rev_8_21_14_0_65_43_10]	Deltaproteobacteria bacterium CG12_big_fil_rev_8_21_14_0_65_43_10	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
1934248	hypothetical protein BWK80_37670 [Desulfobacteraceae bacterium IS3]	Desulfobacteraceae bacterium IS3	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	unclassified Desulfobacteraceae																											
296	tetratricopeptide repeat protein [Pseudomonas fragi]	Pseudomonas fragi	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas chlororaphis group																											
196109	hypothetical protein Micbo1qcDRAFT_155183 [Microdochium bolleyi]	Microdochium bolleyi	cellular organisms	Eukaryota	Opisthokonta	Fungi	Dikarya	Ascomycota	saccharomyceta	Pezizomycotina	leotiomyceta	sordariomyceta	Sordariomycetes	Xylariomycetidae	Xylariales	Microdochiaceae	Microdochium																				
2135620	tetratricopeptide repeat protein [Algoriphagus sp. ARW1R1]	Algoriphagus sp. ARW1R1	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
2135620	tetratricopeptide repeat protein [Algoriphagus sp. ARW1R1]	Algoriphagus sp. ARW1R1	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
2135620	tetratricopeptide repeat protein [Algoriphagus sp. ARW1R1]	Algoriphagus sp. ARW1R1	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
2135620	tetratricopeptide repeat protein [Algoriphagus sp. ARW1R1]	Algoriphagus sp. ARW1R1	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
1297750	tetratricopeptide repeat protein [Bacteroides luti]	Bacteroides luti	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
1297750	tetratricopeptide repeat protein [Bacteroides luti]	Bacteroides luti	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
1977087	tetratricopeptide repeat protein, partial [Proteobacteria bacterium]	Proteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	unclassified Proteobacteria	unclassified Proteobacteria (miscellaneous)																														
1811979	tetratricopeptide repeat protein [Anabaena sp. 4-3]	Anabaena sp. 4-3	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Anabaena																											
1811979	tetratricopeptide repeat protein [Anabaena sp. 4-3]	Anabaena sp. 4-3	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Anabaena																											
623282	MULTISPECIES: tetratricopeptide repeat protein [Psychrilyobacter]	Psychrilyobacter	cellular organisms	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae																													
623282	MULTISPECIES: tetratricopeptide repeat protein [Psychrilyobacter]	Psychrilyobacter	cellular organisms	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae																													
623282	MULTISPECIES: tetratricopeptide repeat protein [Psychrilyobacter]	Psychrilyobacter	cellular organisms	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae																													
185453	PREDICTED: intraflagellar transport protein 88 homolog [Chrysochloris asiatica]	Chrysochloris asiatica	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Afrotheria	Chrysochloridae	Chrysochlorinae	Chrysochloris											
1797327	hypothetical protein A2W87_10910 [Bacteroidetes bacterium GWC2_46_850]	Bacteroidetes bacterium GWC2_46_850	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
1797327	hypothetical protein A2W87_10910 [Bacteroidetes bacterium GWC2_46_850]	Bacteroidetes bacterium GWC2_46_850	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
1797327	hypothetical protein A2W87_10910 [Bacteroidetes bacterium GWC2_46_850]	Bacteroidetes bacterium GWC2_46_850	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
2172550	hypothetical protein DRQ15_04285, partial [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																													
144197	PREDICTED: intraflagellar transport protein 88 homolog isoform X2 [Stegastes partitus]	Stegastes partitus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Euacanthomorphacea	Percomorphaceae	Ovalentaria	Ovalentaria incertae sedis	Pomacentridae	Stegastes					
238	tetratricopeptide repeat protein [Elizabethkingia meningoseptica]	Elizabethkingia meningoseptica	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia																										
238	tetratricopeptide repeat protein [Elizabethkingia meningoseptica]	Elizabethkingia meningoseptica	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia																										
238	tetratricopeptide repeat protein [Elizabethkingia meningoseptica]	Elizabethkingia meningoseptica	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia																										
482537	PREDICTED: intraflagellar transport protein 88 homolog, partial [Galeopterus variegatus]	Galeopterus variegatus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Euarchontoglires	Dermoptera	Cynocephalidae	Galeopterus										
644383	tetratricopeptide repeat protein [Thermosporothrix hazakensis]	Thermosporothrix hazakensis	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermosporotrichaceae	Thermosporothrix																											
9986	PREDICTED: intraflagellar transport protein 88 homolog isoform X3 [Oryctolagus cuniculus]	Oryctolagus cuniculus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Euarchontoglires	Glires	Lagomorpha	Leporidae	Oryctolagus									
1970772	hypothetical protein B6D60_03355, partial [candidate division KSB1 bacterium 4484_87]	candidate division KSB1 bacterium 4484_87	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																													
1970772	hypothetical protein B6D60_03355, partial [candidate division KSB1 bacterium 4484_87]	candidate division KSB1 bacterium 4484_87	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																													
97097	Intraflagellar transport protein 88, partial [Phaethon lepturus]	Phaethon lepturus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Neognathae	Pelecaniformes	Phaethontidae	Phaethon					
1803466	hypothetical protein AUH13_24405 [Acidobacteria bacterium 13_2_20CM_58_27]	Acidobacteria bacterium 13_2_20CM_58_27	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																														
2040292	tetratricopeptide repeat protein [Dysgonomonas sp. Marseille-P4356]	Dysgonomonas sp. Marseille-P4356	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonamonadaceae	Dysgonomonas																										
1971629	hypothetical protein B6I22_09680 [Desulfobacteraceae bacterium 4572_123]	Desulfobacteraceae bacterium 4572_123	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	unclassified Desulfobacteraceae																											
2026735	hypothetical protein DRH43_09350, partial [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
194338	intraflagellar transport protein 88 homolog isoform X1 [Athene cunicularia]	Athene cunicularia	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Neognathae	Strigiformes	Strigidae	Athene					
2026799	hypothetical protein DME99_02105 [Verrucomicrobia bacterium]	Verrucomicrobia bacterium	cellular organisms	Bacteria	PVC group	Verrucomicrobia	unclassified Verrucomicrobia	unclassified Verrucomicrobia (miscellaneous)																													
890399	peptidase C14 caspase catalytic subunit P20 [Candidatus Magnetoglobus multicellularis str. Araruama]	Candidatus Magnetoglobus multicellularis str. Araruama	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Candidatus Magnetoglobus	Candidatus Magnetoglobus multicellularis																										
1906666	hypothetical protein DRN20_03865, partial [Thermoplasmata archaeon]	Thermoplasmata archaeon	cellular organisms	Archaea	Euryarchaeota	Diaforarchaea group	Thermoplasmata	unclassified Thermoplasmata																													
1906666	hypothetical protein DRN20_03865, partial [Thermoplasmata archaeon]	Thermoplasmata archaeon	cellular organisms	Archaea	Euryarchaeota	Diaforarchaea group	Thermoplasmata	unclassified Thermoplasmata																													
1752063	serine/threonine-protein kinase [Fischerella sp. NIES-3754]	Fischerella sp. NIES-3754	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Hapalosiphonaceae	Fischerella																											
2053570	hypothetical protein DRP95_05965 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
1805378	hypothetical protein AUK26_12285 [Syntrophaceae bacterium CG2_30_58_14]	Syntrophaceae bacterium CG2_30_58_14	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	unclassified Syntrophaceae																											
1805378	hypothetical protein AUK26_12285 [Syntrophaceae bacterium CG2_30_58_14]	Syntrophaceae bacterium CG2_30_58_14	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	unclassified Syntrophaceae																											
2164099	tetratricopeptide repeat protein [Chitinophaga sp. XJ-2]	Chitinophaga sp. XJ-2	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga																										
232216	tetratricopeptide repeat protein [Chryseobacterium koreense]	Chryseobacterium koreense	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium																										
232216	tetratricopeptide repeat protein [Chryseobacterium koreense]	Chryseobacterium koreense	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium																										
232216	tetratricopeptide repeat protein [Chryseobacterium koreense]	Chryseobacterium koreense	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium																										
1977087	tetratricopeptide repeat protein, partial [Proteobacteria bacterium]	Proteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	unclassified Proteobacteria	unclassified Proteobacteria (miscellaneous)																														
8187	PREDICTED: intraflagellar transport protein 88 homolog isoform X8 [Lates calcarifer]	Lates calcarifer	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Euacanthomorphacea	Percomorphaceae	Carangaria	Carangaria incertae sedis	Centropomidae	Lates					
1797343	hypothetical protein A2X01_03780 [Bacteroidetes bacterium GWF2_35_48]	Bacteroidetes bacterium GWF2_35_48	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
940614	tetratricopeptide repeat protein [Granulicella mallensis]	Granulicella mallensis	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella																												
1811699	TPR repeat-containing protein YrrB [Syntrophorhabdus sp. PtaB.Bin027]	Syntrophorhabdus sp. PtaB.Bin027	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Syntrophobacterales	Syntrophorhabdaceae	Syntrophorhabdus																											
2164099	tetratricopeptide repeat protein [Chitinophaga sp. XJ-2]	Chitinophaga sp. XJ-2	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga																										
1978231	hypothetical protein DMF80_11905 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																														
864702	tetratricopeptide repeat protein [Oscillatoriales cyanobacterium JSC-12]	Oscillatoriales cyanobacterium JSC-12	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	unclassified Oscillatoriales	unclassified Oscillatoriales (miscellaneous)																										
864702	tetratricopeptide repeat protein [Oscillatoriales cyanobacterium JSC-12]	Oscillatoriales cyanobacterium JSC-12	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	unclassified Oscillatoriales	unclassified Oscillatoriales (miscellaneous)																										
1160	tetratricopeptide repeat protein [Planktothrix agardhii]	Planktothrix agardhii	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix																										
94827	PREDICTED: intraflagellar transport protein 88 homolog [Tinamus guttatus]	Tinamus guttatus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Palaeognathae	Tinamiformes	Tinamidae	Tinamus					
393003	TolA-binding protein [Chitinophaga ginsengisegetis]	Chitinophaga ginsengisegetis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga																										
56	tetratricopeptide repeat protein [Sorangium cellulosum]	Sorangium cellulosum	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Myxococcales	Sorangiineae	Polyangiaceae	Sorangium																										
528314	tetratricopeptide repeat protein [Methanoculleus horonobensis]	Methanoculleus horonobensis	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus																											
528314	tetratricopeptide repeat protein [Methanoculleus horonobensis]	Methanoculleus horonobensis	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus																											
372326	intraflagellar transport 88-like protein [Patagioenas fasciata monilis]	Patagioenas fasciata monilis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Neognathae	Columbiformes	Columbidae	Patagioenas	Patagioenas fasciata				
7955	intraflagellar transport protein 88 homolog isoform X5 [Danio rerio]	Danio rerio	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Otomorpha	Ostariophysi	Otophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Cyprinidae	Danio								
1796646	tetratricopeptide repeat protein [Muribaculum intestinale]	Muribaculum intestinale	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum																										
1896218	hypothetical protein BGX12_11724 [Fibrobacter sp. UWR4]	Fibrobacter sp. UWR4	cellular organisms	Bacteria	FCB group	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter																											
1802189	hypothetical protein A2014_10920 [Spirochaetes bacterium GWF1_49_6]	Spirochaetes bacterium GWF1_49_6	cellular organisms	Bacteria	Spirochaetes	unclassified Spirochaetes																															
8932	intraflagellar transport protein 88 homolog isoform X1 [Columba livia]	Columba livia	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Neognathae	Columbiformes	Columbidae	Columba					
8496	PREDICTED: transmembrane and TPR repeat-containing protein 1 [Alligator mississippiensis]	Alligator mississippiensis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Crocodylia	Alligatoridae	Alligatorinae	Alligator										
671068	TPR repeat protein [Planktothrix serta PCC 8927]	Planktothrix serta PCC 8927	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix serta																									
671068	TPR repeat protein [Planktothrix serta PCC 8927]	Planktothrix serta PCC 8927	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix serta																									
671068	TPR repeat protein [Planktothrix serta PCC 8927]	Planktothrix serta PCC 8927	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix serta																									
1978231	hypothetical protein DMG89_08940 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																														
50402	PREDICTED: LOW QUALITY PROTEIN: tetratricopeptide repeat protein 21B [Charadrius vociferus]	Charadrius vociferus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Neognathae	Charadriiformes	Charadriidae	Charadrius					
748857	tetratricopeptide repeat protein [Roseimicrobium gellanilyticum]	Roseimicrobium gellanilyticum	cellular organisms	Bacteria	PVC group	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium																											
365489	tetratricopeptide repeat protein [Dyadobacter beijingensis]	Dyadobacter beijingensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter																										
365489	tetratricopeptide repeat protein [Dyadobacter beijingensis]	Dyadobacter beijingensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter																										
7955	intraflagellar transport protein 88 homolog isoform X3 [Danio rerio]	Danio rerio	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Otomorpha	Ostariophysi	Otophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Cyprinidae	Danio								
